Game,Designers,Artists,Publisher
Gloomhaven,['Isaac Childres'],"['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",Cephalofair Games
Pandemic Legacy: Season 1,"['Rob Daviau', 'Matt Leacock']",['Chris Quilliams'],"Z-Man Games, Inc."
Through the Ages: A New Story of Civilization,['Vlaada Chvátil'],"['Filip Murmak', 'Radim Pech', 'Jakub Politzer', 'Milan Vavroň']",Czech Games Edition
Terraforming Mars,['Jacob Fryxelius'],['Isaac Fryxelius'],FryxGames
Twilight Struggle,"['Ananda Gupta', 'Jason Matthews']","['Viktor Csete', 'Rodger B. MacGowan', 'Chechu Nieto', 'Guillaume Ries', 'Mark Simonitch']",GMT Games
Star Wars: Rebellion,['Corey Konieczka'],"['Matt Allsopp', 'David Ardila', 'Balaskas', 'Tiziano Baracchi']",Fantasy Flight Games
Gaia Project,"['Jens Drögemüller', 'Helge Ostertag']",['Dennis Lohausen'],Feuerland Spiele
Scythe,['Jamey Stegmaier'],['Jakub Rozalski'],Stonemaier Games
Great Western Trail,['Alexander Pfister'],['Andreas Resch'],eggertspiele
Twilight Imperium (Fourth Edition),"['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']",['Scott Schomburg'],Fantasy Flight Games
Terra Mystica,"['Jens Drögemüller', 'Helge Ostertag']",['Dennis Lohausen'],Feuerland Spiele
War of the Ring (Second Edition),"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['John Howe', 'Fabio Maiorana']",Ares Games
The Castles of Burgundy,['Stefan Feld'],"['Julien Delval', 'Harald Lieske']",alea
Spirit Island,['R. Eric Reuss'],"['Jason Behnke', 'Kat G Bermelin', 'Loïc Billiau', 'Cari Corene']",Greater Than Games (Fabled Nexus)
Brass: Birmingham,"['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Lina Cossette', 'David Forest', 'Damien Mammoliti']",Roxley
7 Wonders Duel,"['Antoine Bauza', 'Bruno Cathala']",['Miguel Coimbra'],Repos Production
The 7th Continent,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
Viticulture Essential Edition,"['Morten Monrad Pedersen', 'Jamey Stegmaier', 'Alan Stone']","['Jacqui Davis', 'David Montgomery', 'Beth Sobel']",Stonemaier Games
Concordia,['Mac Gerdts'],"['Marina Fahrenbach', 'Mac Gerdts', 'Dominik Mayer']",PD-Verlag
